alpha,amp,Qmin_over_Qmean,R,OSI,rho,field_eps,err_TAWSS,err_R,err_OSI,err_RRT,smooth_err_RRT
8,2.6,0.376043,0.597831,0.201084,0.01,0.140618,0.0234302,0.0241977,0.0359703,0.026716,3.33067e-16
8,2.6,0.376043,0.597831,0.201084,0.02,0.278187,0.0301053,0.0437809,0.0650811,0.0515278,3.33067e-16
8,2.6,0.376043,0.597831,0.201084,0.05,0.646387,0.0617874,0.0856517,0.127323,0.11459,3.33067e-16
8,2.7,0.352044,0.582134,0.208933,0.01,0.141228,0.023928,0.0252263,0.0351431,0.0277206,2.22045e-16
8,2.7,0.352044,0.582134,0.208933,0.02,0.279393,0.0306808,0.0456716,0.0636256,0.0534614,2.22045e-16
8,2.7,0.352044,0.582134,0.208933,0.05,0.649189,0.0623689,0.0899031,0.125245,0.119145,2.22045e-16
8,2.8,0.328046,0.56724,0.21638,0.01,0.14178,0.0243705,0.0262175,0.0343646,0.028724,0
8,2.8,0.328046,0.56724,0.21638,0.02,0.280485,0.0311864,0.0475445,0.062319,0.0553949,0
8,2.8,0.328046,0.56724,0.21638,0.05,0.651727,0.0629724,0.0940228,0.12324,0.123751,0
8,2.9,0.304048,0.552547,0.223727,0.01,0.142281,0.0250911,0.0276239,0.034112,0.0297261,0
